BABA,Date,Close,Monthly Returns_BABA,,,BTC,Date,Close,Monthly Returns_BTC,,,VTI,Date,Close,Monthly Returns_VTI,,,HAL,Date,Close,Monthly Returns_HAL,,,GGE,Date,Close,Monthly Returns_GGE,,,AMZN,Date,Close,Monthly Returns_AMZN
,10/1/2014,338.321014,0.117420974,,,,10/1/2014,15.273,0.108622995,,,,10/1/2014,104.019997,0.024802933,,,,10/1/2014,55.139999,-0.23467534,,,,10/1/2014,7.7,-0.002597403,,,,10/1/2014,15.273,0.108622995
,11/1/2014,378.046997,-0.153033894,,,,11/1/2014,16.931999,-0.083539988,,,,11/1/2014,106.599998,-0.005628499,,,,11/1/2014,42.200001,-0.068009453,,,,11/1/2014,7.68,0.1171875,,,,11/1/2014,16.931999,-0.083539988
,12/1/2014,320.192993,-0.320834591,,,,12/1/2014,15.5175,0.142355405,,,,12/1/2014,106,-0.027358509,,,,12/1/2014,39.330002,0.016781082,,,,12/1/2014,8.58,-0.177156177,,,,12/1/2014,15.5175,0.142355405
,1/1/2015,217.464005,0.169218786,,,,1/1/2015,17.7265,0.072292838,,,,1/1/2015,103.099998,0.057419972,,,,1/1/2015,39.990002,0.073768363,,,,1/1/2015,7.06,-0.116147309,,,,1/1/2015,17.7265,0.072292838
,2/1/2015,254.263,-0.039482744,,,,2/1/2015,19.007999,-0.021201548,,,,2/1/2015,109.019997,-0.016235526,,,,2/1/2015,42.939999,0.021891058,,,,2/1/2015,6.24,-0.166666667,,,,2/1/2015,19.007999,-0.021201548
,3/1/2015,244.223999,-0.033080267,,,,3/1/2015,18.605,0.13351255,,,,3/1/2015,107.25,0.006153883,,,,3/1/2015,43.880001,0.115542386,,,,3/1/2015,5.2,0.188461538,,,,3/1/2015,18.605,0.13351255
,4/1/2015,236.145004,-0.025217565,,,,4/1/2015,21.089001,0.017663189,,,,4/1/2015,107.910004,0.012973718,,,,4/1/2015,48.950001,-0.072522961,,,,4/1/2015,6.18,-0.064724919,,,,4/1/2015,21.089001,0.017663189
,5/1/2015,230.190002,0.142847164,,,,5/1/2015,21.4615,0.011322601,,,,5/1/2015,109.309998,-0.020949602,,,,5/1/2015,45.400002,-0.051321628,,,,5/1/2015,5.78,-0.055363322,,,,5/1/2015,21.4615,0.011322601
,6/1/2015,263.071991,0.082023187,,,,6/1/2015,21.7045,0.23511258,,,,6/1/2015,107.019997,0.017006158,,,,6/1/2015,43.07,-0.029719039,,,,6/1/2015,5.46,-0.278388278,,,,6/1/2015,21.7045,0.23511258
,7/1/2015,284.649994,-0.191793413,,,,7/1/2015,26.807501,-0.04338338,,,,7/1/2015,108.839996,-0.060915079,,,,7/1/2015,41.790001,-0.058387244,,,,7/1/2015,3.94,-0.045685279,,,,7/1/2015,26.807501,-0.04338338
,8/1/2015,230.056,0.026097985,,,,8/1/2015,25.644501,-0.001949775,,,,8/1/2015,102.209999,-0.034145368,,,,8/1/2015,39.349998,-0.101651848,,,,8/1/2015,3.76,-0.095744681,,,,8/1/2015,25.644501,-0.001949775
,9/1/2015,236.059998,0.330873454,,,,9/1/2015,25.5945,0.222723632,,,,9/1/2015,98.720001,0.079112621,,,,9/1/2015,35.349998,0.085714375,,,,9/1/2015,3.4,0.482352941,,,,9/1/2015,25.5945,0.222723632
